指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
频率,月,周,月,周,周,周,周,月,月,日,月,月,月,月,周,月,周,周,周,周,月,月,日,月,月,月,月,周,月,周,周,周,周,月,月,日,月,月,月,月,周,月,周,月,月,月,月,月,日,月,月,月,季,年,季,季,月,季,月,月,月,月,月,月,月
单位,,2014年12月29日=100,2015年01月=100,%,平方米,套,,2004年5月=100,%,万平方米,平方米,万平方米,万平方米,2004年5月=100,2014年12月29日=100,2015年01月=100,%,平方米,套,,2004年5月=100,%,万平方米,平方米,万平方米,万平方米,,2014年12月29日=100,2015年01月=100,%,平方米,套,,2004年5月=100,%,平方米,平方米,万平方米,万平方米,,2014年12月29日=100,2015年01月=100,%,万平方米,宗,,2004年5月=100,%,平方米,万平方米,万平方米,万平方米,%,%,%,%,%,%,,,,%,%,%,%
来源,中原地产,根据新闻整理,根据新闻整理,中原地产,北京市住房和城乡建设委员会,北京市住房和城乡建设委员会,北京市住房和城乡建设委员会,中原地产,中原地产,北京市住房和城乡建设委员会,Wind,Wind,Wind,中原地产,根据新闻整理,根据新闻整理,中原地产,上海市房屋管理局,上海市房屋管理局,上海市房屋管理局,中原地产,中原地产,上海市房屋管理局,Wind,Wind,Wind,中原地产,根据新闻整理,根据新闻整理,中原地产,深圳市住房和建设局,深圳市住房和建设局,深圳市住房和建设局,中原地产,中原地产,深圳市住房和建设局,Wind,Wind,Wind,中原地产,根据新闻整理,根据新闻整理,中原地产,广州市住房和城乡建设局,广州市住房和城乡建设局,广州市住房和城乡建设局,中原地产,中原地产,广州市住房和城乡建设局,广州市住房和城乡建设局,Wind,Wind,上海市统计局,深圳市统计局,广州市统计局,北京市统计局,中国人民银行,中国人民银行,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局
2010-01-01,,,,,,,,,,1233.1798,,,,,,,,,,,,,482.01,,,,,,,,,,,,,2094568.3,,,,,,,,,,,,,4201654,,,,,,,,,,,,,,,,
2010-01-02,,,,,,,,,,1252.7518,,,,,,,,,,,,,481.04,,,,,,,,,,,,,2089498.95,,,,,,,,,,,,,4189421,,,,,,,,,,,,,,,,
2010-01-03,,,,,444942,4433,100.37040378975863,,,1251.6077,,,,,,,,,,,,,479.63,,,,,,,,,,,,,2085294.75,,,,,,,,,,,,,4175024,,,,,,,,,,,,,,,,
2010-01-04,,,,,,,,,,1249.5657,,,,,,,,,,,,,477.63,,,,,,,,,,,,,2108558.65,,,,,,,,,,,,,4157640,,,,,,,,,,,,,,,,
2010-01-05,,,,,,,,,,1243.5158,,,,,,,,,,,,,480.25,,,,,,,,,,,,,2107274.4,,,,,,,,,,,,,4113110,,,,,,,,,,,,,,,,
2010-01-06,,,,,,,,,,1238.7508,,,,,,,,,,,,,478.89,,,,,,,,,,,,,2094184.95,,,,,,,,,,,,,4085434,,,,,,,,,,,,,,,,
2010-01-07,,,,,,,,,,1235.0606,,,,,,,,,,,,,484.25,,,,,,,,,,,,,2122260.8,,,,,,,,,,,,,4085434,,,,,,,,,,,,,,,,
